VisitNumber,refund,purchase,TripType,Weekday
5,1,0,999,5
7,0,2,30,5
8,2,30,26,5
9,0,3,8,5
10,0,3,8,5
11,0,4,35,5
12,0,7,41,5
15,0,9,21,5
17,0,4,6,5
19,0,9,42,5
20,0,3,7,5
23,0,2,9,5
25,0,3,8,5
26,0,12,39,5
28,0,8,25,5
29,0,1,8,5
30,0,1,9,5
31,0,2,8,5
32,0,1,8,5
33,0,3,8,5
40,0,3,8,5
41,0,3,8,5
42,0,1,8,5
43,0,4,38,5
45,0,4,8,5
47,0,5,35,5
49,0,5,15,5
50,0,1,9,5
51,0,2,8,5
53,0,1,8,5
54,0,1,8,5
55,0,11,15,5
56,0,2,8,5
57,0,1,8,5
61,0,12,26,5
63,0,5,36,5
68,0,1,9,5
69,0,4,20,5
72,0,3,7,5
74,0,2,8,5
76,0,4,7,5
79,0,9,39,5
81,0,1,9,5
83,0,10,36,5
84,0,2,9,5
85,0,2,8,5
86,0,26,37,5
87,0,1,7,5
91,0,1,8,5
92,0,3,32,5
93,0,1,8,5
95,0,1,8,5
97,0,14,38,5
98,0,50,40,5
99,0,2,8,5
100,0,1,37,5
102,0,1,8,5
103,0,1,8,5
105,0,4,5,5
106,0,2,3,5
107,0,1,8,5
110,0,2,8,5
117,0,1,8,5
121,0,2,3,5
123,0,8,15,5
124,0,1,8,5
125,0,1,6,5
130,0,7,4,5
132,2,3,9,5
133,1,1,999,5
134,0,2,8,5
137,0,2,7,5
138,0,7,39,5
139,0,2,8,5
140,0,43,24,5
145,0,5,33,5
146,0,2,8,5
152,0,22,40,5
153,0,2,3,5
154,0,5,35,5
155,0,3,8,5
162,0,2,3,5
164,0,2,3,5
177,0,2,3,5
179,0,4,35,5
181,0,2,3,5
182,1,0,999,5
185,0,4,21,5
188,0,1,3,5
189,0,2,9,5
190,1,0,999,5
194,0,16,43,5
195,0,2,8,5
199,1,5,7,5
203,0,2,3,5
205,0,4,6,5
207,0,3,999,5
